Wavenumber,Absorbance
2584.9088,0.0240
2586.7725,0.0240
2588.6361,0.0245
2590.4998,0.0248
2592.3635,0.0246
2594.2271,0.0246
2596.0908,0.0244
2597.9545,0.0239
2599.8181,0.0241
2601.6818,0.0245
2603.5455,0.0243
2605.4091,0.0244
2607.2728,0.0246
2609.1365,0.0245
2611.0002,0.0243
2612.8638,0.0243
2614.7275,0.0245
2616.5912,0.0243
2618.4548,0.0242
2620.3185,0.0243
2622.1822,0.0244
2624.0458,0.0245
2625.9095,0.0241
2627.7732,0.0241
2629.6368,0.0246
2631.5005,0.0248
2633.3642,0.0245
2635.2279,0.0243
2637.0915,0.0243
2638.9552,0.0243
2640.8189,0.0244
2642.6825,0.0242
2644.5462,0.0241
2646.4099,0.0241
2648.2735,0.0241
2650.1372,0.0241
2652.0009,0.0243
2653.8645,0.0245
2655.7282,0.0245
2657.5919,0.0245
2659.4555,0.0244
2661.3192,0.0244
2663.1829,0.0245
2665.0466,0.0244
2666.9102,0.0244
2668.7739,0.0245
2670.6376,0.0242
2672.5012,0.0242
2674.3649,0.0241
2676.2286,0.0239
2678.0922,0.0240
2679.9559,0.0239
2681.8196,0.0238
2683.6832,0.0242
2685.5469,0.0242
2687.4106,0.0241
2689.2742,0.0242
2691.1379,0.0240
2693.0016,0.0239
2694.8653,0.0243
2696.7289,0.0243
2698.5926,0.0241
2700.4563,0.0239
2702.3199,0.0239
2704.1836,0.0241
2706.0473,0.0241
2707.9109,0.0242
2709.7746,0.0242
2711.6383,0.0239
2713.5019,0.0239
2715.3656,0.0239
2717.2293,0.0238
2719.0930,0.0238
2720.9566,0.0239
2722.8203,0.0239
2724.6840,0.0240
2726.5476,0.0240
2728.4113,0.0238
2730.2750,0.0237
2732.1386,0.0238
2734.0023,0.0238
2735.8660,0.0240
2737.7296,0.0241
2739.5933,0.0239
2741.4570,0.0240
2743.3206,0.0243
2745.1843,0.0240
2747.0480,0.0238
2748.9117,0.0237
2750.7753,0.0237
2752.6390,0.0237
2754.5027,0.0236
2756.3663,0.0235
2758.2300,0.0240
2760.0937,0.0240
2761.9573,0.0239
2763.8210,0.0240
2765.6847,0.0238
2767.5483,0.0237
2769.4120,0.0239
2771.2757,0.0239
2773.1394,0.0238
2775.0030,0.0237
2776.8667,0.0234
2778.7304,0.0233
2780.5940,0.0237
2782.4577,0.0239
2784.3214,0.0238
2786.1850,0.0239
2788.0487,0.0242
2789.9124,0.0243
2791.7760,0.0242
2793.6397,0.0240
2795.5034,0.0238
2797.3670,0.0239
2799.2307,0.0238
2801.0944,0.0234
2802.9581,0.0235
2804.8217,0.0238
2806.6854,0.0238
2808.5491,0.0237
2810.4127,0.0239
2812.2764,0.0240
2814.1401,0.0238
2816.0037,0.0239
2817.8674,0.0241
2819.7311,0.0242
2821.5947,0.0240
2823.4584,0.0238
2825.3221,0.0236
2827.1857,0.0234
2829.0494,0.0235
2830.9131,0.0237
2832.7768,0.0235
2834.6404,0.0233
2836.5041,0.0234
2838.3678,0.0236
2840.2314,0.0239
2842.0951,0.0239
2843.9588,0.0234
2845.8224,0.0229
2847.6861,0.0223
2849.5498,0.0217
2851.4134,0.0216
2853.2771,0.0218
2855.1408,0.0221
2857.0045,0.0226
2858.8681,0.0229
2860.7318,0.0228
2862.5955,0.0231
2864.4591,0.0236
2866.3228,0.0236
2868.1865,0.0232
2870.0501,0.0232
2871.9138,0.0232
2873.7775,0.0232
2875.6411,0.0232
2877.5048,0.0235
2879.3685,0.0234
2881.2321,0.0228
2883.0958,0.0231
2884.9595,0.0237
2886.8232,0.0235
2888.6868,0.0229
2890.5505,0.0227
2892.4142,0.0231
2894.2778,0.0233
2896.1415,0.0231
2898.0052,0.0231
2899.8688,0.0230
2901.7325,0.0227
2903.5962,0.0225
2905.4598,0.0225
2907.3235,0.0226
2909.1872,0.0225
2911.0509,0.0220
2912.9145,0.0215
2914.7782,0.0212
2916.6419,0.0213
2918.5055,0.0207
2920.3692,0.0198
2922.2329,0.0202
2924.0965,0.0209
2925.9602,0.0210
2927.8239,0.0213
2929.6875,0.0216
2931.5512,0.0216
2933.4149,0.0221
2935.2785,0.0222
2937.1422,0.0218
2939.0059,0.0220
2940.8696,0.0223
2942.7332,0.0226
2944.5969,0.0226
2946.4606,0.0226
2948.3242,0.0227
2950.1879,0.0229
2952.0516,0.0229
2953.9152,0.0227
2955.7789,0.0227
2957.6426,0.0225
2959.5062,0.0224
2961.3699,0.0228
2963.2336,0.0226
2965.0972,0.0226
2966.9609,0.0228
2968.8246,0.0228
2970.6883,0.0226
2972.5519,0.0225
2974.4156,0.0226
2976.2793,0.0227
2978.1429,0.0227
2980.0066,0.0228
2981.8703,0.0229
2983.7339,0.0229
2985.5976,0.0229
2987.4613,0.0231
2989.3249,0.0232
2991.1886,0.0229
2993.0523,0.0227
2994.9160,0.0227
2996.7796,0.0227
2998.6433,0.0227
3000.5070,0.0227
3002.3706,0.0229
3004.2343,0.0232
3006.0980,0.0232
3007.9616,0.0228
3009.8253,0.0226
3011.6890,0.0228
3013.5526,0.0230
3015.4163,0.0231
3017.2800,0.0230
3019.1436,0.0228
3021.0073,0.0228
3022.8710,0.0229
3024.7347,0.0230
3026.5983,0.0228
3028.4620,0.0231
3030.3257,0.0230
3032.1893,0.0227
3034.0530,0.0225
3035.9167,0.0222
3037.7803,0.0224
3039.6440,0.0229
3041.5077,0.0230
3043.3713,0.0231
3045.2350,0.0231
