DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
1496.5261	 0.0300
1498.3898	 0.0294
1500.2535	 0.0283
1502.1171	 0.0284
1503.9808	 0.0307
1505.8445	 0.0360
1507.7082	 0.0377
1509.5718	 0.0330
1511.4355	 0.0308
1513.2992	 0.0311
1515.1628	 0.0326
1517.0265	 0.0343
1518.8902	 0.0344
1520.7538	 0.0348
1522.6175	 0.0357
1524.4812	 0.0338
1526.3448	 0.0336
1528.2085	 0.0328
1530.0722	 0.0329
1531.9359	 0.0340
1533.7995	 0.0346
1535.6632	 0.0345
1537.5269	 0.0365
1539.3905	 0.0416
1541.2542	 0.0406
1543.1179	 0.0377
1544.9815	 0.0363
1546.8452	 0.0353
1548.7089	 0.0357
1550.5725	 0.0374
1552.4362	 0.0371
1554.2999	 0.0390
1556.1635	 0.0427
1558.0272	 0.0456
1559.8909	 0.0425
1561.7546	 0.0374
1563.6182	 0.0375
1565.4819	 0.0388
1567.3456	 0.0401
1569.2092	 0.0408
1571.0729	 0.0397
1572.9366	 0.0404
1574.8002	 0.0437
1576.6639	 0.0436
1578.5276	 0.0417
1580.3912	 0.0419
1582.2549	 0.0427
1584.1186	 0.0430
1585.9822	 0.0443
1587.8459	 0.0452
1589.7096	 0.0463
1591.5733	 0.0471
1593.4369	 0.0481
1595.3006	 0.0481
1597.1643	 0.0480
1599.0279	 0.0487
1600.8916	 0.0500
1602.7553	 0.0508
1604.6189	 0.0515
1606.4826	 0.0522
1608.3463	 0.0532
1610.2099	 0.0539
1612.0736	 0.0547
1613.9373	 0.0575
1615.8010	 0.0598
1617.6646	 0.0573
1619.5283	 0.0568
1621.3920	 0.0602
1623.2556	 0.0618
1625.1193	 0.0609
1626.9830	 0.0612
1628.8466	 0.0612
1630.7103	 0.0614
1632.5740	 0.0644
1634.4376	 0.0675
1636.3013	 0.0650
1638.1650	 0.0611
1640.0286	 0.0606
1641.8923	 0.0618
1643.7560	 0.0642
1645.6197	 0.0670
1647.4833	 0.0655
1649.3470	 0.0650
1651.2107	 0.0700
1653.0743	 0.0702
1654.9380	 0.0619
1656.8017	 0.0621
1658.6653	 0.0647
1660.5290	 0.0671
1662.3927	 0.0683
1664.2563	 0.0681
1666.1200	 0.0710
1667.9837	 0.0753
1669.8474	 0.0751
1671.7110	 0.0754
1673.5747	 0.0790
1675.4384	 0.0799
1677.3020	 0.0801
1679.1657	 0.0848
1681.0294	 0.0918
1682.8930	 0.0971
1684.7567	 0.0937
1686.6204	 0.0908
1688.4840	 0.0947
1690.3477	 0.0973
1692.2114	 0.1018
1694.0750	 0.1082
1695.9387	 0.1099
1697.8024	 0.1126
1699.6661	 0.1133
1701.5297	 0.1069
1703.3934	 0.1094
1705.2571	 0.1124
1707.1207	 0.1093
1708.9844	 0.1084
1710.8481	 0.1095
1712.7117	 0.1112
1714.5754	 0.1130
1716.4391	 0.1113
1718.3027	 0.1026
1720.1664	 0.0969
1722.0301	 0.0964
1723.8937	 0.0954
1725.7574	 0.0937
1727.6211	 0.0937
1729.4848	 0.0938
1731.3484	 0.0952
1733.2121	 0.0936
1735.0758	 0.0847
1736.9394	 0.0796
1738.8031	 0.0781
1740.6668	 0.0722
1742.5304	 0.0664
1744.3941	 0.0621
1746.2578	 0.0578
1748.1214	 0.0546
1749.9851	 0.0498
1751.8488	 0.0439
1753.7125	 0.0394
1755.5761	 0.0373
1757.4398	 0.0359
1759.3035	 0.0336
1761.1671	 0.0326
1763.0308	 0.0309
1764.8945	 0.0291
1766.7581	 0.0292
1768.6218	 0.0301
1770.4855	 0.0294
1772.3491	 0.0290
1774.2128	 0.0272
1776.0765	 0.0254
1777.9401	 0.0244
1779.8038	 0.0236
1781.6675	 0.0229
1783.5312	 0.0216
1785.3948	 0.0211
1787.2585	 0.0199
1789.1222	 0.0195
1790.9858	 0.0198
1792.8495	 0.0199
1794.7132	 0.0173
1796.5768	 0.0161
1798.4405	 0.0157
1800.3042	 0.0154
1802.1678	 0.0148
1804.0315	 0.0135
1805.8952	 0.0125
1807.7589	 0.0121
1809.6225	 0.0117
1811.4862	 0.0116
1813.3499	 0.0110
1815.2135	 0.0104
1817.0772	 0.0103
1818.9409	 0.0099
1820.8045	 0.0094
1822.6682	 0.0094
1824.5319	 0.0109
1826.3955	 0.0112
1828.2592	 0.0104
1830.1229	 0.0114
1831.9865	 0.0102
1833.8502	 0.0094
1835.7139	 0.0092
1837.5776	 0.0093
1839.4412	 0.0092
1841.3049	 0.0093
1843.1686	 0.0106
1845.0322	 0.0116
1846.8959	 0.0100
1848.7596	 0.0092
1850.6232	 0.0086
1852.4869	 0.0085
1854.3506	 0.0088
1856.2142	 0.0092
1858.0779	 0.0092
1859.9416	 0.0092
1861.8052	 0.0094
1863.6689	 0.0094
1865.5326	 0.0097
1867.3963	 0.0109
1869.2599	 0.0115
1871.1236	 0.0100
1872.9873	 0.0088
1874.8509	 0.0086
1876.7146	 0.0089
1878.5783	 0.0090
1880.4419	 0.0091
1882.3056	 0.0097
1884.1693	 0.0098
1886.0329	 0.0096
1887.8966	 0.0100
1889.7603	 0.0108
1891.6240	 0.0104
1893.4876	 0.0099
1895.3513	 0.0095
1897.2150	 0.0095
1899.0786	 0.0100
1900.9423	 0.0099
1902.8060	 0.0097
1904.6696	 0.0095
1906.5333	 0.0095
1908.3970	 0.0102
1910.2606	 0.0107
1912.1243	 0.0100
1913.9880	 0.0095
1915.8516	 0.0098
1917.7153	 0.0110
1919.5790	 0.0114
1921.4427	 0.0110
1923.3063	 0.0108
1925.1700	 0.0100
1927.0337	 0.0103
1928.8973	 0.0109
1930.7610	 0.0106
1932.6247	 0.0100
1934.4883	 0.0100
1936.3520	 0.0101
1938.2157	 0.0105
1940.0793	 0.0108
1941.9430	 0.0112
1943.8067	 0.0105
1945.6704	 0.0103
1947.5340	 0.0108
1949.3977	 0.0110
1951.2614	 0.0111
1953.1250	 0.0109
1954.9887	 0.0107
1956.8524	 0.0110
1958.7160	 0.0110
1960.5797	 0.0102
1962.4434	 0.0098
1964.3070	 0.0102
1966.1707	 0.0104
1968.0344	 0.0106
1969.8980	 0.0107
1971.7617	 0.0103
1973.6254	 0.0103
1975.4891	 0.0109
1977.3527	 0.0101
1979.2164	 0.0102
1981.0801	 0.0105
1982.9437	 0.0108
1984.8074	 0.0112
1986.6711	 0.0107
1988.5347	 0.0110
1990.3984	 0.0111
1992.2621	 0.0114
1994.1257	 0.0117
1995.9894	 0.0108
1997.8531	 0.0103
1999.7167	 0.0102
2001.5804	 0.0101
2003.4441	 0.0096
2005.3078	 0.0094
2007.1714	 0.0106
2009.0351	 0.0113
2010.8988	 0.0101
2012.7624	 0.0090
2014.6261	 0.0097
2016.4898	 0.0113
2018.3534	 0.0114
2020.2171	 0.0113
2022.0808	 0.0112
2023.9444	 0.0112
2025.8081	 0.0118
2027.6718	 0.0117
2029.5355	 0.0112
2031.3991	 0.0112
2033.2628	 0.0111
2035.1265	 0.0114
2036.9901	 0.0119
2038.8538	 0.0114
2040.7175	 0.0104
2042.5811	 0.0106
2044.4448	 0.0104
2046.3085	 0.0104
2048.1721	 0.0111
2050.0358	 0.0116
2051.8995	 0.0121
2053.7631	 0.0117
2055.6268	 0.0109
2057.4905	 0.0108
2059.3542	 0.0106
2061.2178	 0.0107
2063.0815	 0.0112
2064.9452	 0.0114
2066.8088	 0.0113
2068.6725	 0.0110
2070.5362	 0.0106
2072.3998	 0.0105
2074.2635	 0.0109
2076.1272	 0.0115
2077.9908	 0.0112
2079.8545	 0.0109
2081.7182	 0.0112
2083.5819	 0.0111
2085.4455	 0.0107
2087.3092	 0.0107
2089.1729	 0.0109
2091.0365	 0.0107
2092.9002	 0.0107
2094.7639	 0.0108
2096.6275	 0.0110
2098.4912	 0.0112
2100.3549	 0.0113
2102.2185	 0.0109
2104.0822	 0.0105
2105.9459	 0.0104
2107.8095	 0.0111
2109.6732	 0.0113
2111.5369	 0.0109
2113.4006	 0.0112
2115.2642	 0.0116
2117.1279	 0.0114
2118.9916	 0.0114
2120.8552	 0.0120
2122.7189	 0.0119
2124.5826	 0.0111
2126.4462	 0.0113
2128.3099	 0.0114
2130.1736	 0.0109
2132.0372	 0.0107
2133.9009	 0.0110
2135.7646	 0.0115
2137.6282	 0.0116
2139.4919	 0.0115
2141.3556	 0.0117
2143.2193	 0.0117
2145.0829	 0.0114
2146.9466	 0.0122
2148.8103	 0.0126
2150.6739	 0.0117
2152.5376	 0.0117
2154.4013	 0.0123
2156.2649	 0.0120
2158.1286	 0.0110
2159.9923	 0.0110
2161.8559	 0.0122
2163.7196	 0.0113
2165.5833	 0.0102
2167.4470	 0.0114
2169.3106	 0.0124
2171.1743	 0.0127
2173.0380	 0.0125
2174.9016	 0.0113
2176.7653	 0.0107
2178.6290	 0.0118
2180.4926	 0.0127
2182.3563	 0.0125
2184.2200	 0.0120
2186.0836	 0.0114
2187.9473	 0.0110
2189.8110	 0.0111
2191.6746	 0.0119
2193.5383	 0.0124
2195.4020	 0.0126
2197.2657	 0.0130
2199.1293	 0.0133
2200.9930	 0.0127
2202.8567	 0.0123
2204.7203	 0.0126
2206.5840	 0.0130
2208.4477	 0.0131
2210.3113	 0.0126
2212.1750	 0.0124
2214.0387	 0.0125
2215.9023	 0.0123
2217.7660	 0.0126
2219.6297	 0.0129
2221.4934	 0.0126
2223.3570	 0.0127
2225.2207	 0.0128
2227.0844	 0.0125
2228.9480	 0.0127
2230.8117	 0.0131
2232.6754	 0.0130
2234.5390	 0.0125
2236.4027	 0.0127
2238.2664	 0.0129
2240.1300	 0.0129
2241.9937	 0.0134
